"","Canonical","NonCanonical","Atypical"
"645",NA,"MLXIP",NA
"646",NA,"H2AC6",NA
"647",NA,"LOC100128593",NA
"648",NA,"MYL6B",NA
"649",NA,"C12orf57",NA
"650",NA,"TTLL9",NA
"651",NA,"TYROBP",NA
"652",NA,"CTNND1",NA
"653",NA,"IFI27",NA
"654",NA,"ZNF493",NA
"655",NA,"COX8A",NA
"656",NA,"SH2D5",NA
"657",NA,"ZNF620",NA
"658",NA,"PRB1",NA
"659",NA,"COX7B",NA
"660",NA,"GNAI1",NA
"661",NA,"RALGPS1",NA
"662",NA,"CRIM1",NA
"663",NA,"COX7A1",NA
"664",NA,"NADK2",NA
"665",NA,"TTYH1",NA
"666",NA,"ZNF321P",NA
"667",NA,"TEX38",NA
"668",NA,"VAMP8",NA
"669",NA,"FSCN2",NA
"670",NA,"CLCN2",NA
"671",NA,"SNRPF",NA
"672",NA,"SMIM13",NA
"673",NA,"NDP",NA
"674",NA,"SAP30L-AS1",NA
"675",NA,"CPEB3",NA
"676",NA,"TRMT112",NA
"677",NA,"ZFAS1",NA
"678",NA,"LINC00515",NA
"679",NA,"ARL17B",NA
"680",NA,"ZNF785",NA
"681",NA,"FAM138A",NA
"682",NA,"TSC22D1-AS1",NA
"683",NA,"BTD",NA
"684",NA,"H2BC7",NA
"685",NA,"NR1I2",NA
"686",NA,"RAPH1",NA
"687",NA,"H2BC21",NA
"688",NA,"GK5",NA
"689",NA,"ARSK",NA
"690",NA,"TJP3",NA
"691",NA,"LINC01120",NA
"692",NA,"SLC10A1",NA
"693",NA,"ZFYVE28",NA
"694",NA,"CCDC34",NA
"695",NA,"CDK5R2",NA
"696",NA,"USP28",NA
"697",NA,"SLC24A3-AS1",NA
"698",NA,"LCTL",NA
"699",NA,"CCDC33",NA
"700",NA,"KLRA1P",NA
"701",NA,"RIPK3",NA
"702",NA,"RANBP1",NA
"703",NA,"ANGPT4",NA
"704",NA,"GP9",NA
"705",NA,"MAGEA6",NA
"706",NA,"RPL22L1",NA
"707",NA,"TRAPPC6B",NA
"708",NA,"AFG2A",NA
"709",NA,"AVIL",NA
"710",NA,"PUS7L",NA
"711",NA,"RAD51-AS1",NA
"712",NA,"PFKFB2",NA
"713",NA,"DBF4",NA
"714",NA,"OTOS",NA
"715",NA,"MARS2",NA
"716",NA,"INPP1",NA
"717",NA,"ZNF554",NA
"718",NA,"GARS1-DT",NA
"719",NA,"SRRM2-AS1",NA
"720",NA,"ZNF431",NA
"721",NA,"TP53",NA
"722",NA,"ANO8",NA
"723",NA,"RNASE13",NA
"724",NA,"SLC26A1",NA
"725",NA,"ZNF593",NA
"726",NA,"DEF8",NA
"727",NA,"LINC01000",NA
"728",NA,"MGST3",NA
"729",NA,"FGFRL1",NA
"730",NA,"SNHG8",NA
"731",NA,"AMN",NA
"732",NA,"PCDHGC4",NA
"733",NA,"NRBP2",NA
"734",NA,"CRAMP1",NA
"735",NA,"GRIN3A",NA
"736",NA,"DOP1B",NA
"737",NA,"LINC01001",NA
"738",NA,"PRKCB",NA
"739",NA,"VMA21",NA
"740",NA,"TRIM62",NA
"741",NA,"NUDT1",NA
"742",NA,"SNAR-A3",NA
"743",NA,"FBLIM1",NA
"744",NA,"CRYBG2",NA
"745",NA,"ADAMTSL4",NA
"746",NA,"CADM3-AS1",NA
"747",NA,"IL2RG",NA
"748",NA,"NANOG",NA
"749",NA,"RSKR",NA
"750",NA,"PAFAH2",NA
"751",NA,"OR2A2",NA
"752",NA,"FMNL1",NA
"753",NA,"CLEC12B",NA
"754",NA,"H1-5",NA
"755",NA,"NR2E3",NA
"756",NA,"OR1K1",NA
"757",NA,"LINC00268",NA
"758",NA,"GRASLND",NA
"759",NA,"H4C16",NA
"760",NA,"PPARGC1B",NA
"761",NA,"GBA2",NA
"762",NA,"TCF7L2",NA
"763",NA,"TRMT9B",NA
"764",NA,"DCAF12L2",NA
"765",NA,"SNRPD2P2",NA
"766",NA,"ZCCHC13",NA
"767",NA,"POLH",NA
"768",NA,"TIMM8A",NA
"769",NA,"SNCB",NA
"770",NA,"TPTEP1",NA
"771",NA,"AGA-DT",NA
"772",NA,"MIA3",NA
"773",NA,"KRTCAP2",NA
"774",NA,"ZSWIM5",NA
"775",NA,"AHRR",NA
"776",NA,"TP53INP2",NA
"777",NA,"FHDC1",NA
"778",NA,"TEF",NA
"779",NA,"TRPC2",NA
"780",NA,"TCF7L1",NA
"781",NA,"HNF1A-AS1",NA
"782",NA,"USP53",NA
"783",NA,"DNAJC3",NA
"784",NA,"PFDN4",NA
"785",NA,"OR51A7",NA
"786",NA,"RELCH",NA
"787",NA,"PDE4DIPP2",NA
"788",NA,"RABGAP1",NA
"789",NA,"PLEKHH1",NA
"790",NA,"TAAR2",NA
"791",NA,"SMPD1",NA
"792",NA,"RNF222",NA
"793",NA,"CKS2",NA
"794",NA,"DEFB104B",NA
"795",NA,"IGSF3",NA
"796",NA,"SUPT20HL1",NA
"797",NA,"ECHDC3",NA
"798",NA,"HAUS5",NA
"799",NA,"DIRC1",NA
"800",NA,"IYD",NA
"801",NA,"GALP",NA
"802",NA,"LMOD3",NA
"803",NA,"AKAP12",NA
"804",NA,"FMR1NB",NA
"805",NA,"SIX3",NA
"806",NA,"PLVAP",NA
"807",NA,"EPG5",NA
"808",NA,"SH3BP5",NA
"809",NA,"PDGFD",NA
"810",NA,"ZNF790-AS1",NA
"811",NA,"COX6A2",NA
"812",NA,"APCS",NA
"813",NA,"SYNE3",NA
