"","Canonical","NonCanonical","Atypical"
"436","DACT1","MAOA","PCK1"
"437","PADI2","SYT8","JAM2"
"438","KIF3A","MRFAP1","SLC26A2"
"439","IRX5","KLK7","MUC12"
"440","AURKB","KCNK7","C1QA"
"441","BTNL8","PPIB","C12orf57"
"442","CLCA4","KISS1R","LMTK3"
"443","GUCA1B","CADPS2","PLPP1"
"444","HSD17B2","COA3","CFAP69"
"445","HOXA6","SIRT5","STAP1"
"446","MYT1","EGR4","EFEMP1"
"447","TNXB","TTC24","PBLD"
"448","BLK","RORC","CCL2"
"449","CGN","CTSS","CLDN5"
"450","DTD1","SLC35A3","ANKRD13B"
"451","VILL","CACNA1C","KLRB1"
"452","RNF152","TMEM9B","EVI2B"
"453","AMPD1","ABCC6P1","LRP8"
"454","UBE2S","ANKRD13B","TSPAN3"
"455","IQCA1","CFAP53","SCG5"
"456","SERINC2","MMP24","PPP1R18"
"457","MT1F","H2AZ1","LOC389834"
"458","GGTA1","OR2AT4","PNPLA1"
"459","COL8A2","HSPB7","ZNF746"
"460","ACSM1","RECQL4","MAOA"
"461","MEX3A","TCHHL1","DKC1"
"462","AMN","IQSEC2","DCDC2"
"463","NANOS3","ZMYND8","RFTN1"
"464","CENPN","RPS9","EPOP"
"465","DDIAS","EN1","FOXF2"
"466","NPY1R","KPRP","VAV1"
"467","FLJ42393","NFKBIB","ZFPM2"
"468","CYP2C18","NIPSNAP3A","KLF9"
"469","CYP2C19","TSNAXIP1","RASSF2"
"470","ASPM","CLCA1","POU2AF1"
"471","IGF1","RIBC1","LAPTM5"
"472","PCSK5","C3orf36","ARL14"
"473","ATP5MK","TMEM130","SPPL2A"
"474","SLC26A10P","LCE2B","SMCO4"
"475","SKA1","ASPDH","DMTN"
"476","OR2M7","PAK3","CENPI"
"477","SMIM6","BLMH","ANKS4B"
"478","TYR","SERPINA4","NUPR1"
"479","CMAHP","KIF9","MEOX1"
"480","FBP2","ATP1A1","PLCL2"
"481","GCG","EFHC1","MGP"
"482","DHRS9","CES1P1","LAMA1"
"483","BTNL3","OR2AG1","CD79B"
"484","VSTM5","LINC00598","ADRB1"
"485","SCIN","SPRR4","SLCO4A1"
"486","CREB3L3","SLC2A1","TENT5C"
"487","ACAP1","KCNK10","VILL"
"488","ACVR1C","STRC","VPS35L"
"489","CDK1","CKAP4","GDPD4"
"490","LIFR","ACAT1","GTF2IRD1"
"491","ADM","SCAMP2","DGLUCY"
"492","ADGRL3","SLC27A2","NPY1R"
"493","CCNA2","KRT81","CAPN2"
"494","SLC4A4","PRRX2","KIF4A"
"495","CBX2","MICAL2","GIMAP7"
"496","LDHB","FBXO41","CDH19"
"497","CD52","HSD52","DOCK2"
"498","HGD","E2F1","PCDHAC2"
"499","PRUNE2","TMEM61","GREM2"
"500","PLCG2","TRIM62","MEOX2"
"501","ADH6","SDCBP","ADA2"
"502","LDHD","MICOS10","CXCR4"
"503","REG3A","ISYNA1","WIPF3"
"504","S100A12","DBI","CD59"
"505","CNTN1","PRR19","ATAD2"
"506","ST6GAL2","AKNA","PARPBP"
"507","DCDC2","DRAXIN","WLS"
"508","MAP3K20","AGL","UNC5CL"
"509","ZNF711","NPAS4","RHPN1"
"510","EPB41L4A","CLEC4F","TSPAN1"
"511","LTBP2","SYN1","RBL1"
"512","ARL14","CDH8","FYN"
"513","CCR7","DUOXA1","RAMP3"
"514","DEFB4A","CSMD2","DPP9"
"515","NTN4","DNAI7","TOX"
"516","CKAP2L","CDRT15","TEF"
"517","DNASE1L3","PIP5K1C","LDHD"
"518","MFSD4A","HBD","CTSS"
"519","MT2A","KCNAB1","CD83"
"520","MEGF6","STRIP2","AHCY"
"521","ACE2","OR4D11","SYNE1"
"522","TRIB3","EIF3K","ITGB1BP1"
"523","GCNT2","SRRM3","PLAGL2"
"524","TRIP13","SPATA16","AFF3"
"525","HTR3D","OCIAD2","CTSG"
"526","PADI1","PTPRU","ENC1"
"527","DDIT4","INCA1","RABGAP1"
"528","MXD1","NRARP","ERCC6L"
"529","CA3","TMEM106C","POLQ"
"530","BEST4","AQP7","EZH2"
"531","MEIS2","ATP8B1","GPR61"
"532","COL17A1","SPPL2C","BEX3"
"533","CYTL1","PNMA8A","CYBRD1"
"534","IL18","TCF7L1","EPB41L4A"
"535","PLN","PRDX3","MS4A6A"
"536","CD19","SPAM1","SH3BGRL"
"537","UBE2C","ASL","TNMD"
"538","SALL4","NUDT2","ERP27"
"539","PLA2G2A","PXMP2","HROB"
"540","KIF4A","ERICH6","SRGN"
"541","KPRP","GALNT16","LGALSL"
"542","LTF","AKIRIN1","TMEM200B"
"543","SELL","LINC00552","MT1X"
"544","FAM169A","PRODH2","ACAA2"
"545","ZG16","CABS1","LY96"
"546","C15orf48","CENPM","PRELID3A"
"547","FZD10","CEACAM18","SAMSN1"
"548","RSAD2","OR6C6","FBLN5"
"549","DTX1","FMO5","HGD"
"550","TSPAN2","SLC26A8","SYN3"
"551","P3H2","SNHG9","RAVER1"
"552","SLN","FAM83A","TAF4"
"553","SAMD9","SMPD3","PDP1"
"554","P2RY14","IQCF6","PFKFB1"
"555","RASL11A","TINAGL1","UBXN10"
"556","HTRA3","DRD3","TCEA3"
"557","THRB","ACMSD","LMX1A"
"558","RPA4","ITGAD","SGPP1"
"559","NNMT","CDK4","POFUT1"
"560","RFC3","PFN4","NEB"
"561","CCL2","SGCZ","PCSK1"
"562","CD86","OVOL2","FGF7"
"563","PLAC1","ELN","TMT1B"
"564","MYC","LRRC61","S1PR1"
"565","VIP","RCVRN","SFTA2"
"566","CACNA1A","TMBIM4","SMIM6"
"567","ECRG4","EIF2AK3","MYOM3"
"568","TCHHL1","OR4F6","SMOC2"
"569","NRP2","ANO8","CLCN5"
"570","GPR18","CIMAP1A","FLRT2"
"571","SFRP4","PHLDA2","GJA5"
"572","CLC","CLXN","STX1A"
"573","ERLIN2","PNLIPRP1","PECAM1"
"574","CHGA","ELOVL6","CD53"
"575","CDH19","PYGO1","FAM217B"
"576","TRPM2","SMIM20","KCTD12"
"577","CDHR5","CLEC17A","TSHZ1"
"578","PENK","PLEKHH2","FAS"
"579","FABP4","NDUFA12","TCFL5"
"580","CKM","ZYX","ITM2A"
"581","FCRLA","TSHZ2","STARD10"
"582","SEMA4G","OR13H1","AUNIP"
"583","GCNT3","LOC389834","OR51B4"
"584","CDC25B","OR7G2","GNG2"
"585","SORBS2","FRA10AC1","BASP1"
"586","DSCC1","PBX4","MAPK10"
"587","CD22","OR1Q1","UCP1"
"588","AGT","LOXHD1","MFAP4"
"589","AEBP1","FLG2","BEX4"
"590","MYO16","SMCP","NNMT"
"591","SERPINE1","SDHA","TCF7"
"592","AOC1","ENKUR","ZNF282"
"593","MAGEA4","MGST3","ETFDH"
"594","NAMPT","TRIM48","CACNB2"
"595","GSDMC","HYAL4","CD14"
"596","CCDC68","CREG2","PPIF"
"597","MS4A1","MYO18B","NAAA"
"598","RHBDL2","SAMD13","ASB9"
"599","SDCBP2","FUT1","PXMP2"
"600","ERP27","TMEM59","GLTP"
"601","FABP2","OR2M5","BICDL1"
"602","MS4A2","SLC51A","MCTP1"
"603","ARSL","MYH15","CYYR1"
"604","TAGLN","OR5AP2","RPL31"
"605","CLEC3B","SERPINB10","CASD1"
"606","ERN2","OIT3","POU5F1"
"607","COCH","NLRP10","IL1B"
"608","TM4SF1","DENND2A","MTM1"
"609","HOXC6","PRSS54","CD96"
"610","MTNR1A","SLC25A6","MSX2"
"611","HRCT1","ZSCAN23","IGHM"
"612","BCAS1","B3GAT1","MADCAM1"
"613","DKK4","CACNG7","FYB1"
"614","TXNIP","FAM186A","LACTB2"
"615","MUC15","PRSS27","SNRK"
"616","ELAPOR2","ATP6V0A4","SDCBP2"
"617","PPP1R14C","OSBP2","DNAI4"
"618","PSAT1","IGFN1","EPHA1"
"619","TMEM171","MYH7","CDC25A"
"620","TPRG1","IL1RAPL2","SPINT2"
"621","TCEA3","MATN1","RARRES2"
"622","CCL11","SLC25A33","SLC26A3"
"623","SELE","NTSR2","PRAP1"
"624","FABP3","PRSS22","PMAIP1"
"625","GREM2","PPP1R15A","COL16A1"
"626","SLC19A3","GNRH2","SDHD"
"627","SCML4","PKMYT1","ATOSA"
"628","HILPDA","LINC00114","TOP2A"
"629","IL24","SLC15A2","TRBV19"
"630","VSIG2","SCTR","GPR18"
"631","ARID3A","ECI2","OCA2"
"632","PLEK","TSPO","RHBDL3"
"633","LRRC19","IL13","RHBDL2"
"634","FMO5","AMER3","HKDC1"
"635","LAMA3","ASB18","TYROBP"
"636","ANLN","PATE1","TCEAL9"
"637","KLK6","FOXA3","DDIAS"
"638","SLC11A1","VWA5B2","KHDRBS3"
"639","SMPDL3A","LSMEM1","NELFCD"
"640","RUNDC3B","FANK1","CCNE2"
"641","MUC17","GLP1R","SRI"
"642","CXCL2","UCP1","PLS1"
"643","LGSN","SNRPD3","C1S"
"644","TWIST1","SFMBT2","BMP2"
"645","RNF183","OSBPL6","UBE2C"
